N,g,accuracy(bits)
153,137.0,902
153,137.5,903
153,138.0,905
153,138.5,904
153,139.0,906
153,139.5,908
153,140.0,909
153,140.5,910
153,141.0,912
153,141.5,913
153,142.0,915
153,142.5,918
153,143.0,920
153,143.5,922
153,144.0,921
153,144.5,922
153,145.0,923
153,145.5,924
153,146.0,924
153,146.5,925
153,147.0,927
153,147.5,927
153,148.0,929
153,148.5,930
153,149.0,931
153,149.5,932
153,150.0,933
153,150.5,936
153,151.0,937
153,151.5,938
153,152.0,939
153,152.5,940
153,153.0,940
153,153.5,942
153,154.0,944
153,154.5,944
153,155.0,946
153,155.5,948
153,156.0,949
153,156.5,949
153,157.0,951
153,157.5,953
153,158.0,955
153,158.5,958
153,159.0,962
153,159.5,959
153,160.0,961
153,160.5,960
153,161.0,961
153,161.5,963
153,162.0,952
154,153.5,948
154,154.0,949
154,154.5,949
154,155.0,951
154,155.5,953
154,156.0,952
154,156.5,954
154,157.0,955
154,157.5,955
154,158.0,957
154,158.5,958
154,159.0,959
154,159.5,961
154,160.0,963
154,160.5,962
154,161.0,964
154,161.5,966
154,162.0,966
154,162.5,968
154,163.0,960
155,161.5,973
155,162.0,974
155,162.5,973
155,163.0,974
155,163.5,975
155,164.0,967
156,162.5,975
156,163.0,976
156,163.5,978
156,164.0,979
156,164.5,981
156,165.0,974
157,163.5,983
157,164.0,986
157,164.5,989
157,165.0,987
157,165.5,988
157,166.0,982
158,163.5,985
158,164.0,986
158,164.5,987
158,165.0,989
158,165.5,990
158,166.0,992
158,166.5,992
158,167.0,990
158,167.5,977
159,164.5,992
159,165.0,994
159,165.5,995
159,166.0,996
159,166.5,999
159,167.0,1006
159,167.5,1002
159,168.0,997
160,166.0,1000
160,166.5,1001
160,167.0,1002
160,167.5,1001
160,168.0,1003
160,168.5,1005
160,169.0,1004
160,169.5,991
161,168.0,1008
161,168.5,1009
161,169.0,1012
161,169.5,1015
161,170.0,1012
161,170.5,1000
162,169.0,1013
162,169.5,1014
162,170.0,1016
162,170.5,1017
162,171.0,1018
162,171.5,1007
163,170.5,1022
163,171.0,1022
163,171.5,1024
163,172.0,1028
163,172.5,1014
164,171.5,1027
164,172.0,1028
164,172.5,1030
164,173.0,1031
164,173.5,1022
165,172.5,1033
165,173.0,1036
165,173.5,1037
165,174.0,1039
165,174.5,1031
166,173.0,1039
166,173.5,1040
166,174.0,1041
166,174.5,1042
166,175.0,1042
166,175.5,1038
166,176.0,1025
