N,g,accuracy(bits)
307,291.0,1843
307,291.5,1845
307,292.0,1847
307,292.5,1847
307,293.0,1848
307,293.5,1850
307,294.0,1851
307,294.5,1852
307,295.0,1853
307,295.5,1855
307,296.0,1856
307,296.5,1857
307,297.0,1859
307,297.5,1859
307,298.0,1860
307,298.5,1862
307,299.0,1863
307,299.5,1864
307,300.0,1866
307,300.5,1867
307,301.0,1868
307,301.5,1869
307,302.0,1870
307,302.5,1872
307,303.0,1874
307,303.5,1875
307,304.0,1875
307,304.5,1878
307,305.0,1877
307,305.5,1879
307,306.0,1880
307,306.5,1882
307,307.0,1883
307,307.5,1884
307,308.0,1886
307,308.5,1887
307,309.0,1888
307,309.5,1889
307,310.0,1890
307,310.5,1891
307,311.0,1893
307,311.5,1894
307,312.0,1894
307,312.5,1896
307,313.0,1897
307,313.5,1899
307,314.0,1900
307,314.5,1902
307,315.0,1903
307,315.5,1904
307,316.0,1905
307,316.5,1907
307,317.0,1909
307,317.5,1910
307,318.0,1913
307,318.5,1914
307,319.0,1915
307,319.5,1914
307,320.0,1916
307,320.5,1915
307,321.0,1917
307,321.5,1919
307,322.0,1919
307,322.5,1920
307,323.0,1922
307,323.5,1924
307,324.0,1917
308,315.5,1908
308,316.0,1909
308,316.5,1910
308,317.0,1912
308,317.5,1911
308,318.0,1913
308,318.5,1915
308,319.0,1915
308,319.5,1917
308,320.0,1918
308,320.5,1919
308,321.0,1920
308,321.5,1922
308,322.0,1924
308,322.5,1925
308,323.0,1927
308,323.5,1928
308,324.0,1931
308,324.5,1932
308,325.0,1925
309,323.5,1931
309,324.0,1932
309,324.5,1933
309,325.0,1934
309,325.5,1936
309,326.0,1932
309,326.5,1918
310,324.5,1936
310,325.0,1939
310,325.5,1941
310,326.0,1941
310,326.5,1944
310,327.0,1939
311,325.5,1943
311,326.0,1945
311,326.5,1946
311,327.0,1947
311,327.5,1948
311,328.0,1947
311,328.5,1934
312,326.5,1950
312,327.0,1951
312,327.5,1951
312,328.0,1953
312,328.5,1956
312,329.0,1956
312,329.5,1941
313,327.5,1956
313,328.0,1957
313,328.5,1958
313,329.0,1959
313,329.5,1959
313,330.0,1962
313,330.5,1950
314,329.0,1962
314,329.5,1964
314,330.0,1966
314,330.5,1968
314,331.0,1969
314,331.5,1957
315,330.5,1971
315,331.0,1971
315,331.5,1973
315,332.0,1973
315,332.5,1965
316,331.0,1975
316,331.5,1976
316,332.0,1978
316,332.5,1979
316,333.0,1979
316,333.5,1972
317,331.5,1983
317,332.0,1985
317,332.5,1983
317,333.0,1985
317,333.5,1986
317,334.0,1985
317,334.5,1981
318,332.5,1985
318,333.0,1986
318,333.5,1988
318,334.0,1990
318,334.5,1991
318,335.0,1993
318,335.5,1987
319,334.0,1995
319,334.5,1999
319,335.0,1997
319,335.5,1998
319,336.0,1999
319,336.5,1996
319,337.0,1982
320,334.0,1998
320,334.5,1997
320,335.0,1999
320,335.5,2001
320,336.0,2001
320,336.5,2002
320,337.0,2004
320,337.5,2002
320,338.0,1990
321,335.5,2004
321,336.0,2006
321,336.5,2009
321,337.0,2013
321,337.5,2012
321,338.0,2011
321,338.5,2010
321,339.0,1997
322,336.0,2010
322,336.5,2011
322,337.0,2012
322,337.5,2013
322,338.0,2013
322,338.5,2015
322,339.0,2016
322,339.5,2018
322,340.0,2006
323,339.0,2021
323,339.5,2026
323,340.0,2026
323,340.5,2025
323,341.0,2012
324,339.0,2023
324,339.5,2026
324,340.0,2025
324,340.5,2027
324,341.0,2028
324,341.5,2029
324,342.0,2020
325,341.0,2034
325,341.5,2035
325,342.0,2038
325,342.5,2040
325,343.0,2028
326,341.5,2037
326,342.0,2039
326,342.5,2039
326,343.0,2040
326,343.5,2042
326,344.0,2035
327,343.0,2044
327,343.5,2046
327,344.0,2049
327,344.5,2051
327,345.0,2043
328,343.5,2051
328,344.0,2050
328,344.5,2052
328,345.0,2053
328,345.5,2054
328,346.0,2051
328,346.5,2038
329,344.5,2056
329,345.0,2057
329,345.5,2059
329,346.0,2061
329,346.5,2062
329,347.0,2058
329,347.5,2046
330,345.5,2063
330,346.0,2064
330,346.5,2064
330,347.0,2066
330,347.5,2067
330,348.0,2066
330,348.5,2053
