N,g,accuracy(bits)
512,496.0,3098
512,496.5,3100
512,497.0,3101
512,497.5,3101
512,498.0,3102
512,498.5,3104
512,499.0,3105
512,499.5,3107
512,500.0,3106
512,500.5,3108
512,501.0,3110
512,501.5,3111
512,502.0,3112
512,502.5,3113
512,503.0,3114
512,503.5,3116
512,504.0,3117
512,504.5,3118
512,505.0,3120
512,505.5,3121
512,506.0,3122
512,506.5,3123
512,507.0,3125
512,507.5,3124
512,508.0,3126
512,508.5,3128
512,509.0,3129
512,509.5,3130
512,510.0,3131
512,510.5,3133
512,511.0,3134
512,511.5,3135
512,512.0,3137
512,512.5,3137
512,513.0,3140
512,513.5,3141
512,514.0,3141
512,514.5,3143
512,515.0,3145
512,515.5,3145
512,516.0,3148
512,516.5,3149
512,517.0,3151
512,517.5,3153
512,518.0,3155
512,518.5,3157
512,519.0,3156
512,519.5,3157
512,520.0,3158
512,520.5,3157
512,521.0,3159
512,521.5,3161
512,522.0,3160
512,522.5,3161
512,523.0,3163
512,523.5,3164
512,524.0,3165
512,524.5,3166
512,525.0,3167
512,525.5,3169
512,526.0,3170
512,526.5,3172
512,527.0,3171
512,527.5,3173
512,528.0,3175
512,528.5,3176
512,529.0,3178
512,529.5,3179
512,530.0,3181
512,530.5,3182
512,531.0,3185
512,531.5,3186
512,532.0,3191
512,532.5,3189
512,533.0,3188
512,533.5,3189
512,534.0,3191
512,534.5,3192
512,535.0,3192
512,535.5,3194
512,536.0,3195
512,536.5,3197
512,537.0,3198
512,537.5,3199
512,538.0,3200
512,538.5,3201
512,539.0,3203
512,539.5,3204
512,540.0,3193
513,531.5,3188
513,532.0,3189
513,532.5,3190
513,533.0,3190
513,533.5,3192
513,534.0,3194
513,534.5,3195
513,535.0,3197
513,535.5,3198
513,536.0,3199
513,536.5,3200
513,537.0,3202
513,537.5,3205
513,538.0,3210
513,538.5,3207
513,539.0,3206
513,539.5,3208
513,540.0,3209
513,540.5,3211
513,541.0,3201
514,539.5,3210
514,540.0,3212
514,540.5,3214
514,541.0,3215
514,541.5,3216
514,542.0,3207
515,540.5,3222
515,541.0,3221
515,541.5,3220
515,542.0,3222
515,542.5,3223
515,543.0,3215
516,541.5,3224
516,542.0,3223
516,542.5,3225
516,543.0,3226
516,543.5,3229
516,544.0,3224
517,542.5,3231
517,543.0,3234
517,543.5,3234
517,544.0,3235
517,544.5,3236
517,545.0,3230
518,543.5,3235
518,544.0,3236
518,544.5,3237
518,545.0,3239
518,545.5,3241
518,546.0,3239
518,546.5,3224
519,544.5,3241
519,545.0,3243
519,545.5,3247
519,546.0,3249
519,546.5,3248
519,547.0,3247
519,547.5,3232
520,545.0,3246
520,545.5,3247
520,546.0,3248
520,546.5,3249
520,547.0,3251
520,547.5,3252
520,548.0,3257
520,548.5,3240
521,547.0,3256
521,547.5,3258
521,548.0,3259
521,548.5,3264
521,549.0,3264
521,549.5,3249
522,548.0,3262
522,548.5,3263
522,549.0,3264
522,549.5,3265
522,550.0,3266
522,550.5,3256
523,549.5,3268
523,550.0,3272
523,550.5,3273
523,551.0,3278
523,551.5,3264
524,550.0,3273
524,550.5,3275
524,551.0,3275
524,551.5,3278
524,552.0,3277
524,552.5,3271
525,551.0,3278
525,551.5,3281
525,552.0,3282
525,552.5,3284
525,553.0,3286
525,553.5,3278
