N,g,accuracy(bits)
128,112.0,748
128,112.5,749
128,113.0,750
128,113.5,753
128,114.0,754
128,114.5,756
128,115.0,759
128,115.5,758
128,116.0,759
128,116.5,759
128,117.0,761
128,117.5,762
128,118.0,763
128,118.5,764
128,119.0,765
128,119.5,767
128,120.0,768
128,120.5,771
128,121.0,771
128,121.5,774
128,122.0,775
128,122.5,775
128,123.0,778
128,123.5,780
128,124.0,783
128,124.5,788
128,125.0,786
128,125.5,785
128,126.0,787
128,126.5,788
128,127.0,789
128,127.5,792
128,128.0,793
128,128.5,797
128,129.0,794
128,129.5,795
128,130.0,796
128,130.5,797
128,131.0,796
128,131.5,797
128,132.0,799
128,132.5,799
128,133.0,801
128,133.5,802
128,134.0,803
128,134.5,805
128,135.0,805
128,135.5,799
129,126.5,788
129,127.0,789
129,127.5,791
129,128.0,791
129,128.5,793
129,129.0,795
129,129.5,796
129,130.0,797
129,130.5,798
129,131.0,799
129,131.5,801
129,132.0,802
129,132.5,803
129,133.0,805
129,133.5,805
129,134.0,806
129,134.5,808
129,135.0,811
129,135.5,813
129,136.0,817
129,136.5,807
130,135.5,814
130,136.0,816
130,136.5,816
130,137.0,817
130,137.5,816
130,138.0,802
131,136.5,820
131,137.0,823
131,137.5,824
131,138.0,825
131,138.5,822
131,139.0,811
132,137.5,827
132,138.0,828
132,138.5,828
132,139.0,831
132,139.5,829
132,140.0,817
133,138.0,832
133,138.5,833
133,139.0,833
133,139.5,835
133,140.0,836
133,140.5,840
133,141.0,826
134,139.5,840
134,140.0,840
134,140.5,842
134,141.0,841
134,141.5,844
134,142.0,832
135,141.0,846
135,141.5,848
135,142.0,849
135,142.5,851
135,143.0,840
136,142.0,853
136,142.5,854
136,143.0,856
136,143.5,855
136,144.0,848
137,142.0,855
137,142.5,858
137,143.0,857
137,143.5,859
137,144.0,861
137,144.5,862
137,145.0,855
138,143.5,868
138,144.0,866
138,144.5,867
138,145.0,868
138,145.5,868
138,146.0,864
138,146.5,851
139,142.5,864
139,143.0,865
139,143.5,866
139,144.0,867
139,144.5,870
139,145.0,869
139,145.5,871
139,146.0,873
139,146.5,875
140,145.0,875
140,145.5,877
140,146.0,879
140,146.5,881
140,147.0,880
140,147.5,881
140,148.0,878
140,148.5,866
141,145.5,880
141,146.0,881
141,146.5,880
141,147.0,882
141,147.5,883
141,148.0,884
141,148.5,886
141,149.0,887
141,149.5,873
142,148.5,892
142,149.0,897
142,149.5,894
142,150.0,894
142,150.5,881
143,148.5,894
143,149.0,896
143,149.5,895
143,150.0,897
143,150.5,898
143,151.0,900
143,151.5,887
144,150.5,904
144,151.0,905
144,151.5,910
144,152.0,910
144,152.5,895
145,150.5,906
145,151.0,906
145,151.5,908
145,152.0,909
145,152.5,910
145,153.0,912
145,153.5,903
146,152.5,915
146,153.0,917
146,153.5,919
146,154.0,923
146,154.5,911
147,153.0,919
147,153.5,920
147,154.0,921
147,154.5,922
147,155.0,923
147,155.5,919
147,156.0,906
148,154.5,927
148,155.0,927
148,155.5,930
148,156.0,932
148,156.5,926
149,155.0,932
149,155.5,933
149,156.0,935
149,156.5,935
149,157.0,936
149,157.5,935
149,158.0,922
150,156.0,937
150,156.5,938
150,157.0,940
150,157.5,942
150,158.0,944
150,158.5,942
150,159.0,928
151,157.0,945
151,157.5,947
151,158.0,946
151,158.5,948
151,159.0,949
151,159.5,948
151,160.0,936
152,158.0,949
152,158.5,951
152,159.0,953
152,159.5,954
152,160.0,955
152,160.5,959
152,161.0,943
153,159.5,959
153,160.0,961
153,160.5,960
153,161.0,961
153,161.5,963
153,162.0,952
154,161.0,964
154,161.5,966
154,162.0,966
154,162.5,968
154,163.0,960
155,162.0,974
155,162.5,973
155,163.0,974
155,163.5,975
155,164.0,967
156,162.5,975
156,163.0,976
156,163.5,978
156,164.0,979
156,164.5,981
156,165.0,974
157,163.5,983
157,164.0,986
157,164.5,989
157,165.0,987
157,165.5,988
157,166.0,982
158,163.5,985
158,164.0,986
158,164.5,987
158,165.0,989
158,165.5,990
158,166.0,992
158,166.5,992
158,167.0,990
158,167.5,977
159,164.5,992
159,165.0,994
159,165.5,995
159,166.0,996
159,166.5,999
159,167.0,1006
159,167.5,1002
159,168.0,997
160,166.0,1000
160,166.5,1001
160,167.0,1002
160,167.5,1001
160,168.0,1003
160,168.5,1005
160,169.0,1004
160,169.5,991
161,168.0,1008
161,168.5,1009
161,169.0,1012
161,169.5,1015
161,170.0,1012
161,170.5,1000
162,169.0,1013
162,169.5,1014
162,170.0,1016
162,170.5,1017
162,171.0,1018
162,171.5,1007
163,170.5,1022
163,171.0,1022
163,171.5,1024
163,172.0,1028
163,172.5,1014
164,171.5,1027
164,172.0,1028
164,172.5,1030
164,173.0,1031
164,173.5,1022
165,172.5,1033
165,173.0,1036
165,173.5,1037
165,174.0,1039
165,174.5,1031
166,173.0,1039
166,173.5,1040
166,174.0,1041
166,174.5,1042
166,175.0,1042
166,175.5,1038
166,176.0,1025
