N,g,accuracy(bits)
256,240.0,1532
256,240.5,1534
256,241.0,1537
256,241.5,1538
256,242.0,1542
256,242.5,1542
256,243.0,1541
256,243.5,1542
256,244.0,1543
256,244.5,1544
256,245.0,1545
256,245.5,1547
256,246.0,1546
256,246.5,1548
256,247.0,1549
256,247.5,1550
256,248.0,1551
256,248.5,1552
256,249.0,1554
256,249.5,1555
256,250.0,1556
256,250.5,1558
256,251.0,1559
256,251.5,1560
256,252.0,1561
256,252.5,1562
256,253.0,1563
256,253.5,1566
256,254.0,1565
256,254.5,1567
256,255.0,1568
256,255.5,1569
256,256.0,1572
256,256.5,1571
256,257.0,1573
256,257.5,1575
256,258.0,1575
256,258.5,1577
256,259.0,1578
256,259.5,1579
256,260.0,1580
256,260.5,1582
256,261.0,1583
256,261.5,1586
256,262.0,1587
256,262.5,1588
256,263.0,1591
256,263.5,1593
256,264.0,1595
256,264.5,1594
256,265.0,1595
256,265.5,1594
256,266.0,1596
256,266.5,1597
256,267.0,1598
256,267.5,1599
256,268.0,1600
256,268.5,1601
256,269.0,1602
256,269.5,1605
256,270.0,1607
256,270.5,1594
257,262.0,1590
257,262.5,1590
257,263.0,1592
257,263.5,1593
257,264.0,1594
257,264.5,1596
257,265.0,1595
257,265.5,1598
257,266.0,1599
257,266.5,1600
257,267.0,1601
257,267.5,1603
257,268.0,1605
257,268.5,1607
257,269.0,1608
257,269.5,1610
257,270.0,1614
257,270.5,1614
257,271.0,1613
257,271.5,1601
258,268.0,1609
258,268.5,1610
258,269.0,1610
258,269.5,1612
258,270.0,1614
258,270.5,1613
258,271.0,1615
258,271.5,1617
258,272.0,1618
259,270.5,1618
259,271.0,1620
259,271.5,1620
259,272.0,1623
259,272.5,1626
259,273.0,1626
259,273.5,1616
260,271.5,1625
260,272.0,1624
260,272.5,1626
260,273.0,1628
260,273.5,1629
260,274.0,1631
260,274.5,1624
261,273.5,1632
261,274.0,1634
261,274.5,1636
261,275.0,1639
261,275.5,1632
262,274.0,1637
262,274.5,1638
262,275.0,1639
262,275.5,1640
262,276.0,1643
262,276.5,1639
262,277.0,1626
263,275.5,1645
263,276.0,1646
263,276.5,1647
263,277.0,1650
263,277.5,1647
263,278.0,1634
264,276.0,1650
264,276.5,1651
264,277.0,1652
264,277.5,1654
264,278.0,1654
264,278.5,1654
264,279.0,1641
265,276.5,1653
265,277.0,1655
265,277.5,1656
265,278.0,1659
265,278.5,1660
265,279.0,1662
265,279.5,1663
265,280.0,1648
266,278.5,1665
266,279.0,1666
266,279.5,1665
266,280.0,1666
266,280.5,1669
266,281.0,1657
267,280.0,1671
267,280.5,1672
267,281.0,1673
267,281.5,1674
267,282.0,1663
268,281.0,1678
268,281.5,1679
268,282.0,1679
268,282.5,1680
268,283.0,1672
269,281.5,1681
269,282.0,1683
269,282.5,1684
269,283.0,1685
269,283.5,1687
269,284.0,1679
270,282.5,1689
270,283.0,1692
270,283.5,1693
270,284.0,1692
270,284.5,1693
270,285.0,1688
271,282.5,1690
271,283.0,1693
271,283.5,1692
271,284.0,1694
271,284.5,1697
271,285.0,1696
271,285.5,1698
271,286.0,1695
271,286.5,1682
272,284.0,1699
272,284.5,1701
272,285.0,1703
272,285.5,1711
272,286.0,1706
273,284.5,1704
273,285.0,1704
273,285.5,1706
273,286.0,1707
273,286.5,1708
273,287.0,1709
273,287.5,1710
273,288.0,1710
273,288.5,1697
274,286.5,1713
274,287.0,1713
274,287.5,1717
274,288.0,1720
274,288.5,1719
274,289.0,1718
274,289.5,1704
275,287.0,1716
275,287.5,1718
275,288.0,1719
275,288.5,1720
275,289.0,1722
275,289.5,1722
275,290.0,1724
275,290.5,1712
276,289.5,1727
276,290.0,1728
276,290.5,1733
276,291.0,1736
276,291.5,1719
277,290.5,1733
277,291.0,1734
277,291.5,1734
277,292.0,1736
277,292.5,1728
278,291.5,1738
278,292.0,1742
278,292.5,1743
278,293.0,1745
278,293.5,1736
279,292.0,1745
279,292.5,1746
279,293.0,1747
279,293.5,1746
279,294.0,1748
279,294.5,1743
280,293.0,1750
280,293.5,1751
280,294.0,1752
280,294.5,1754
280,295.0,1757
280,295.5,1750
281,294.0,1757
281,294.5,1758
281,295.0,1759
281,295.5,1760
281,296.0,1761
281,296.5,1759
281,297.0,1744
282,295.0,1762
282,295.5,1763
282,296.0,1765
282,296.5,1767
282,297.0,1768
282,297.5,1765
282,298.0,1752
283,296.0,1771
283,296.5,1770
283,297.0,1771
283,297.5,1772
283,298.0,1773
