N,g,accuracy(bits)
64,48.0,351
64,48.5,353
64,49.0,358
64,49.5,356
64,50.0,359
64,50.5,358
64,51.0,361
64,51.5,364
64,52.0,369
64,52.5,366
64,53.0,368
64,53.5,368
64,54.0,370
64,54.5,372
64,55.0,374
64,55.5,378
64,56.0,378
64,56.5,379
64,57.0,379
64,57.5,381
64,58.0,382
64,58.5,382
64,59.0,384
64,59.5,385
64,60.0,387
64,60.5,388
64,61.0,390
64,61.5,391
64,62.0,392
64,62.5,393
64,63.0,396
64,63.5,395
64,64.0,397
64,64.5,398
64,65.0,399
64,65.5,401
64,66.0,401
64,66.5,403
64,67.0,404
64,67.5,405
64,68.0,403
64,68.5,391
65,59.5,392
65,60.0,393
65,60.5,392
65,61.0,393
65,61.5,394
65,62.0,395
65,62.5,396
65,63.0,398
65,63.5,399
65,64.0,400
65,64.5,401
65,65.0,403
65,65.5,404
65,66.0,405
65,66.5,406
65,67.0,409
65,67.5,410
65,68.0,412
65,68.5,414
65,69.0,411
65,69.5,398
66,67.5,412
66,68.0,414
66,68.5,415
66,69.0,416
66,69.5,418
66,70.0,419
66,70.5,405
67,69.0,420
67,69.5,421
67,70.0,422
67,70.5,424
67,71.0,429
67,71.5,413
68,70.5,428
68,71.0,428
68,71.5,430
68,72.0,432
68,72.5,420
69,71.5,434
69,72.0,435
69,72.5,437
69,73.0,438
69,73.5,429
70,72.0,441
70,72.5,440
70,73.0,441
70,73.5,442
70,74.0,443
70,74.5,435
71,73.0,444
71,73.5,446
71,74.0,448
71,74.5,449
71,75.0,450
71,75.5,443
72,74.0,455
72,74.5,454
72,75.0,455
72,75.5,454
72,76.0,455
72,76.5,451
72,77.0,439
73,73.0,451
73,73.5,452
73,74.0,454
73,74.5,455
73,75.0,457
73,75.5,458
73,76.0,459
73,76.5,460
73,77.0,461
74,75.0,462
74,75.5,464
74,76.0,465
74,76.5,469
74,77.0,467
74,77.5,468
74,78.0,469
74,78.5,467
74,79.0,454
75,75.5,464
75,76.0,466
75,76.5,467
75,77.0,469
75,77.5,470
75,78.0,470
75,78.5,472
75,79.0,474
75,79.5,473
76,78.5,477
76,79.0,481
76,79.5,483
76,80.0,482
76,80.5,481
76,81.0,469
77,78.5,480
77,79.0,481
77,79.5,482
77,80.0,484
77,80.5,485
77,81.0,486
77,81.5,487
77,82.0,477
78,81.0,491
78,81.5,494
78,82.0,499
78,82.5,496
78,83.0,484
79,81.5,494
79,82.0,496
79,82.5,497
79,83.0,497
79,83.5,499
79,84.0,492
80,83.0,502
80,83.5,504
80,84.0,507
80,84.5,510
80,85.0,499
81,83.5,506
81,84.0,508
81,84.5,510
81,85.0,511
81,85.5,512
81,86.0,508
81,86.5,494
82,85.0,514
82,85.5,516
82,86.0,517
82,86.5,519
82,87.0,515
82,87.5,502
83,85.5,519
83,86.0,521
83,86.5,522
83,87.0,523
83,87.5,524
83,88.0,522
83,88.5,509
84,86.5,525
84,87.0,526
84,87.5,528
84,88.0,529
84,88.5,530
84,89.0,531
84,89.5,518
