N,g,accuracy(bits)
204,188.0,1214
204,188.5,1216
204,189.0,1217
204,189.5,1220
204,190.0,1225
204,190.5,1221
204,191.0,1222
204,191.5,1224
204,192.0,1225
204,192.5,1226
204,193.0,1225
204,193.5,1227
204,194.0,1229
204,194.5,1229
204,195.0,1232
204,195.5,1233
204,196.0,1234
204,196.5,1235
204,197.0,1236
204,197.5,1238
204,198.0,1238
204,198.5,1239
204,199.0,1241
204,199.5,1242
204,200.0,1243
204,200.5,1245
204,201.0,1245
204,201.5,1247
204,202.0,1248
204,202.5,1250
204,203.0,1250
204,203.5,1251
204,204.0,1252
204,204.5,1254
204,205.0,1255
204,205.5,1257
204,206.0,1257
204,206.5,1259
204,207.0,1261
204,207.5,1262
204,208.0,1263
204,208.5,1265
204,209.0,1264
204,209.5,1266
204,210.0,1268
204,210.5,1269
204,211.0,1271
204,211.5,1272
204,212.0,1274
204,212.5,1276
204,213.0,1279
204,213.5,1279
204,214.0,1280
204,214.5,1279
204,215.0,1281
204,215.5,1275
205,207.0,1265
205,207.5,1268
205,208.0,1269
205,208.5,1271
205,209.0,1274
205,209.5,1272
205,210.0,1274
205,210.5,1273
205,211.0,1275
205,211.5,1276
205,212.0,1277
205,212.5,1278
205,213.0,1279
205,213.5,1281
205,214.0,1280
205,214.5,1282
205,215.0,1283
205,215.5,1284
205,216.0,1286
205,216.5,1283
205,217.0,1270
206,215.0,1290
206,215.5,1291
206,216.0,1294
206,216.5,1293
206,217.0,1293
206,217.5,1291
206,218.0,1277
207,214.5,1289
207,215.0,1291
207,215.5,1292
207,216.0,1293
207,216.5,1295
207,217.0,1296
207,217.5,1297
207,218.0,1298
207,218.5,1298
208,216.5,1298
208,217.0,1300
208,217.5,1303
208,218.0,1304
208,218.5,1310
208,219.0,1308
208,219.5,1305
209,217.5,1305
209,218.0,1306
209,218.5,1308
209,219.0,1309
209,219.5,1310
209,220.0,1310
209,220.5,1313
209,221.0,1300
210,220.0,1315
210,220.5,1317
210,221.0,1321
210,221.5,1323
210,222.0,1309
211,221.0,1321
211,221.5,1322
211,222.0,1323
211,222.5,1324
211,223.0,1316
212,222.0,1327
212,222.5,1328
212,223.0,1331
212,223.5,1333
212,224.0,1322
213,222.5,1332
213,223.0,1334
213,223.5,1333
213,224.0,1335
213,224.5,1337
213,225.0,1331
214,223.5,1338
214,224.0,1340
214,224.5,1341
214,225.0,1342
214,225.5,1344
214,226.0,1339
215,224.5,1345
215,225.0,1346
215,225.5,1346
215,226.0,1348
215,226.5,1348
215,227.0,1346
215,227.5,1334
216,225.0,1348
216,225.5,1349
216,226.0,1352
216,226.5,1351
216,227.0,1354
216,227.5,1356
216,228.0,1353
216,228.5,1341
217,226.5,1359
217,227.0,1358
217,227.5,1359
217,228.0,1360
217,228.5,1362
217,229.0,1360
217,229.5,1347
218,227.5,1361
218,228.0,1363
218,228.5,1364
218,229.0,1366
218,229.5,1368
218,230.0,1371
218,230.5,1357
219,229.5,1372
219,230.0,1373
219,230.5,1373
219,231.0,1374
219,231.5,1364
220,230.5,1377
220,231.0,1377
220,231.5,1379
220,232.0,1381
220,232.5,1372
221,231.5,1386
221,232.0,1386
221,232.5,1386
221,233.0,1388
221,233.5,1379
222,232.0,1387
222,232.5,1388
222,233.0,1389
222,233.5,1391
222,234.0,1394
222,234.5,1387
223,233.0,1395
223,233.5,1397
223,234.0,1403
223,234.5,1400
223,235.0,1401
223,235.5,1393
224,233.0,1398
224,233.5,1399
224,234.0,1400
224,234.5,1401
224,235.0,1402
224,235.5,1404
224,236.0,1405
224,236.5,1402
224,237.0,1388
225,234.5,1406
225,235.0,1407
225,235.5,1408
225,236.0,1411
225,236.5,1414
225,237.0,1414
225,237.5,1409
226,235.5,1412
226,236.0,1413
226,236.5,1414
226,237.0,1415
226,237.5,1415
226,238.0,1417
226,238.5,1417
226,239.0,1403
227,237.5,1419
227,238.0,1423
227,238.5,1424
227,239.0,1426
227,239.5,1424
227,240.0,1412
228,238.0,1425
228,238.5,1426
228,239.0,1427
228,239.5,1429
228,240.0,1430
228,240.5,1432
228,241.0,1420
229,240.0,1432
229,240.5,1435
229,241.0,1437
229,241.5,1438
229,242.0,1426
230,241.0,1439
230,241.5,1441
230,242.0,1442
230,242.5,1443
230,243.0,1434
231,242.0,1444
231,242.5,1446
231,243.0,1449
