N,g,accuracy(bits)
614,644.5,3835
614,645.0,3835
614,645.5,3836
614,646.0,3838
614,646.5,3840
614,647.0,3840
614,647.5,3826
615,638.5,3823
615,639.0,3826
615,639.5,3825
615,640.0,3826
615,640.5,3829
615,641.0,3828
615,641.5,3830
615,642.0,3831
615,642.5,3833
615,643.0,3834
615,643.5,3835
615,644.0,3836
615,644.5,3838
615,645.0,3840
615,645.5,3842
615,646.0,3844
615,646.5,3847
615,647.0,3845
615,647.5,3847
615,648.0,3850
615,648.5,3834
616,647.5,3850
616,648.0,3849
616,648.5,3851
616,649.0,3852
616,649.5,3841
617,648.5,3858
617,649.0,3862
617,649.5,3860
617,650.0,3859
617,650.5,3849
618,648.5,3858
618,649.0,3860
618,649.5,3862
618,650.0,3861
618,650.5,3863
618,651.0,3866
618,651.5,3858
619,649.5,3866
619,650.0,3868
619,650.5,3869
619,651.0,3871
619,651.5,3876
619,652.0,3873
619,652.5,3864
620,650.5,3871
620,651.0,3872
620,651.5,3873
620,652.0,3875
620,652.5,3876
620,653.0,3877
620,653.5,3872
621,652.5,3881
621,653.0,3882
621,653.5,3885
621,654.0,3886
621,654.5,3881
622,653.0,3884
622,653.5,3887
622,654.0,3886
622,654.5,3888
622,655.0,3889
622,655.5,3887
622,656.0,3875
623,654.5,3892
623,655.0,3894
623,655.5,3895
623,656.0,3898
623,656.5,3896
623,657.0,3881
624,655.0,3898
624,655.5,3899
624,656.0,3899
624,656.5,3900
624,657.0,3901
624,657.5,3905
624,658.0,3889
625,656.5,3903
625,657.0,3905
625,657.5,3908
625,658.0,3909
625,658.5,3909
625,659.0,3898
626,657.5,3910
626,658.0,3912
626,658.5,3913
626,659.0,3914
626,659.5,3915
626,660.0,3905
627,658.5,3916
627,659.0,3917
627,659.5,3919
627,660.0,3921
627,660.5,3921
627,661.0,3912
628,659.0,3926
628,659.5,3924
628,660.0,3925
628,660.5,3926
628,661.0,3926
628,661.5,3928
628,662.0,3920
629,660.5,3929
629,661.0,3930
629,661.5,3932
629,662.0,3931
629,662.5,3933
629,663.0,3927
630,661.5,3938
630,662.0,3940
630,662.5,3939
630,663.0,3940
630,663.5,3939
630,664.0,3935
631,661.5,3938
631,662.0,3939
631,662.5,3940
631,663.0,3942
631,663.5,3942
631,664.0,3944
631,664.5,3945
631,665.0,3943
631,665.5,3929
632,663.0,3945
632,663.5,3948
632,664.0,3951
632,664.5,3954
632,665.0,3953
632,665.5,3954
632,666.0,3951
632,666.5,3937
633,663.5,3951
633,664.0,3951
633,664.5,3953
633,665.0,3954
633,665.5,3955
633,666.0,3956
633,666.5,3958
633,667.0,3960
633,667.5,3944
634,666.5,3965
634,667.0,3969
634,667.5,3967
634,668.0,3969
634,668.5,3953
635,666.5,3965
635,667.0,3967
635,667.5,3966
635,668.0,3968
635,668.5,3970
635,669.0,3970
635,669.5,3960
636,668.0,3974
636,668.5,3974
636,669.0,3978
636,669.5,3981
636,670.0,3979
636,670.5,3968
637,668.5,3979
637,669.0,3978
637,669.5,3980
637,670.0,3981
637,670.5,3982
637,671.0,3983
637,671.5,3976
638,670.5,3986
638,671.0,3988
638,671.5,3990
638,672.0,3993
638,672.5,3984
639,671.5,3992
639,672.0,3993
639,672.5,3994
639,673.0,3996
639,673.5,3991
640,672.5,3998
640,673.0,4000
640,673.5,4002
640,674.0,4004
640,674.5,3998
641,673.0,4004
641,673.5,4005
641,674.0,4006
641,674.5,4007
641,675.0,4009
641,675.5,4005
641,676.0,3993
642,674.0,4008
642,674.5,4010
642,675.0,4011
642,675.5,4013
642,676.0,4015
642,676.5,4015
642,677.0,4001
643,675.0,4017
643,675.5,4018
643,676.0,4019
643,676.5,4020
643,677.0,4021
643,677.5,4024
643,678.0,4008
644,676.5,4023
644,677.0,4024
644,677.5,4025
644,678.0,4027
644,678.5,4028
644,679.0,4015
645,678.0,4031
645,678.5,4032
645,679.0,4033
645,679.5,4034
645,680.0,4023
646,679.0,4035
646,679.5,4037
646,680.0,4039
646,680.5,4040
646,681.0,4032
647,679.5,4045
647,680.0,4045
647,680.5,4046
647,681.0,4045
647,681.5,4046
647,682.0,4039
648,679.5,4045
648,680.0,4046
648,680.5,4047
648,681.0,4048
648,681.5,4050
648,682.0,4051
648,682.5,4051
648,683.0,4047
648,683.5,4034
649,680.5,4051
649,681.0,4052
649,681.5,4055
649,682.0,4056
649,682.5,4060
649,683.0,4059
649,683.5,4059
649,684.0,4054
650,681.5,4058
650,682.0,4057
650,682.5,4059
650,683.0,4060
650,683.5,4061
650,684.0,4064
650,684.5,4065
650,685.0,4062
650,685.5,4049
651,683.5,4066
651,684.0,4068
651,684.5,4070
651,685.0,4076
651,685.5,4073
651,686.0,4069
652,684.5,4071
652,685.0,4073
652,685.5,4074
652,686.0,4076
652,686.5,4077
652,687.0,4079
652,687.5,4064
653,686.5,4080
653,687.0,4083
653,687.5,4088
653,688.0,4085
653,688.5,4071
654,687.0,4084
654,687.5,4086
654,688.0,4087
654,688.5,4088
654,689.0,4090
654,689.5,4078
655,688.5,4093
655,689.0,4094
655,689.5,4097
655,690.0,4101
655,690.5,4087
656,689.0,4097
656,689.5,4099
656,690.0,4100
656,690.5,4100
656,691.0,4103
656,691.5,4095
657,690.5,4105
657,691.0,4107
657,691.5,4109
657,692.0,4110
657,692.5,4102
658,691.0,4111
658,691.5,4112
658,692.0,4111
658,692.5,4113
658,693.0,4114
658,693.5,4110
658,694.0,4095
