N,g,accuracy(bits)
652,680.5,4062
652,681.0,4064
652,681.5,4067
652,682.0,4073
652,682.5,4069
652,683.0,4068
654,680.0,4068
654,680.5,4069
654,681.0,4070
654,681.5,4071
654,682.0,4073
654,682.5,4074
654,683.0,4076
654,683.5,4077
654,684.0,4080
654,684.5,4083
654,685.0,4083
654,685.5,4083
654,686.0,4083
656,686.0,4090
656,686.5,4092
656,687.0,4095
656,687.5,4097
656,688.0,4096
656,688.5,4097
656,689.0,4097
658,689.0,4105
658,689.5,4108
658,690.0,4111
658,690.5,4109
658,691.0,4111
658,691.5,4112
658,692.0,4111
