N,g,accuracy(bits)
1304,1365.0,8126
1304,1365.5,8127
1304,1366.0,8129
1304,1366.5,8132
1304,1367.0,8134
1304,1367.5,8140
1304,1368.0,8135
1306,1365.5,8134
1306,1366.0,8135
1306,1366.5,8137
1306,1367.0,8139
1306,1367.5,8139
1306,1368.0,8141
1306,1368.5,8143
1306,1369.0,8144
1306,1369.5,8147
1306,1370.0,8149
1306,1370.5,8150
1306,1371.0,8150
1306,1371.5,8150
1308,1372.5,8161
1308,1373.0,8164
1308,1373.5,8163
1308,1374.0,8164
1308,1374.5,8165
1308,1375.0,8166
1308,1375.5,8168
1310,1378.0,8180
1310,1378.5,8182
1310,1379.0,8183
1310,1379.5,8184
1310,1380.0,8180
1310,1380.5,8165
N,g,accuracy(bits)
1312,1376.5,8184
1312,1377.0,8187
1312,1377.5,8189
1312,1378.0,8192
1312,1378.5,8191
1312,1379.0,8192
1312,1379.5,8191
1312,1380.0,8193
1312,1380.5,8194
1312,1381.0,8194
1312,1381.5,8196
1312,1382.0,8195
1312,1382.5,8180
