N,g,accuracy(bits)
50,25.5,222
50,26.0,222
50,26.5,221
50,27.0,220
50,27.5,219
51,23.0,214
51,23.5,216
51,24.0,218
51,24.5,221
51,25.0,222
51,25.5,221
51,26.0,222
51,26.5,221
51,27.0,220
52,23.0,215
52,23.5,217
52,24.0,220
52,24.5,222
52,25.0,222
52,25.5,222
52,26.0,221
52,26.5,222
52,27.0,220
53,22.5,213
53,23.0,216
53,23.5,219
53,24.0,220
53,24.5,223
53,25.0,223
53,25.5,222
53,26.0,222
53,26.5,221
54,22.0,211
54,22.5,213
54,23.0,222
54,23.5,219
54,24.0,221
54,24.5,223
54,25.0,222
54,25.5,222
54,26.0,220
55,22.5,215
55,23.0,220
55,23.5,222
55,24.0,224
55,24.5,222
55,25.0,222
55,25.5,223
55,26.0,222
55,26.5,220
56,22.0,214
56,22.5,218
56,23.0,220
56,23.5,222
56,24.0,223
56,24.5,223
56,25.0,222
56,25.5,222
56,26.0,221
57,22.0,214
57,22.5,218
57,23.0,221
57,23.5,223
57,24.0,224
57,24.5,224
57,25.0,222
57,25.5,222
57,26.0,221
58,22.0,216
58,22.5,220
58,23.0,223
58,23.5,225
58,24.0,223
58,24.5,224
58,25.0,222
58,25.5,221
58,26.0,219
59,21.5,213
59,22.0,217
59,22.5,221
59,23.0,224
59,23.5,225
59,24.0,224
59,24.5,223
59,25.0,223
59,25.5,222
60,21.5,216
60,22.0,219
60,22.5,225
60,23.0,225
60,23.5,225
60,24.0,223
60,24.5,224
60,25.0,223
60,25.5,221
61,20.5,210
61,21.0,216
61,21.5,217
61,22.0,219
61,22.5,225
61,23.0,225
61,23.5,224
61,24.0,224
61,24.5,223
62,20.0,207
62,20.5,212
62,21.0,216
62,21.5,218
62,22.0,222
62,22.5,226
62,23.0,225
62,23.5,224
62,24.0,223
63,20.0,208
63,20.5,212
63,21.0,216
63,21.5,220
63,22.0,223
63,22.5,225
63,23.0,225
63,23.5,225
63,24.0,225
64,20.5,214
64,21.0,217
64,21.5,220
64,22.0,224
64,22.5,226
64,23.0,225
64,23.5,225
64,24.0,225
64,24.5,225
65,20.5,215
65,21.0,219
65,21.5,220
65,22.0,225
65,22.5,227
65,23.0,225
65,23.5,224
65,24.0,224
65,24.5,223
66,20.5,216
66,21.0,219
66,21.5,221
66,22.0,228
66,22.5,226
66,23.0,225
66,23.5,225
66,24.0,223
67,20.0,213
67,20.5,217
67,21.0,221
67,21.5,223
67,22.0,226
67,22.5,226
67,23.0,226
67,23.5,225
67,24.0,224
68,20.0,213
68,20.5,219
68,21.0,222
68,21.5,225
68,22.0,228
68,22.5,226
68,23.0,225
68,23.5,224
68,24.0,223
69,20.0,215
69,20.5,222
69,21.0,222
69,21.5,226
69,22.0,227
69,22.5,227
69,23.0,225
69,23.5,225
69,24.0,225
70,20.0,216
70,20.5,223
70,21.0,223
70,21.5,226
70,22.0,228
70,22.5,226
70,23.0,226
70,23.5,224
70,24.0,225
71,20.0,217
71,20.5,227
71,21.0,224
71,21.5,227
71,22.0,227
71,22.5,225
71,23.0,226
71,23.5,225
71,24.0,223
72,18.5,206
72,19.0,214
72,19.5,214
72,20.0,218
72,20.5,225
72,21.0,225
72,21.5,228
72,22.0,226
72,22.5,226
73,19.0,216
73,19.5,215
73,20.0,220
73,20.5,225
73,21.0,225
73,21.5,228
73,22.0,228
73,22.5,226
73,23.0,225
74,19.5,215
74,20.0,220
74,20.5,225
74,21.0,226
74,21.5,228
74,22.0,226
74,22.5,227
74,23.0,226
74,23.5,225
75,20.0,220
75,20.5,226
75,21.0,228
75,21.5,228
75,22.0,227
75,22.5,226
75,23.0,225
75,23.5,225
75,24.0,224
76,19.0,216
76,19.5,217
76,20.0,221
76,20.5,227
76,21.0,228
76,21.5,227
76,22.0,227
76,22.5,225
76,23.0,225
77,19.0,217
77,19.5,219
77,20.0,223
77,20.5,227
77,21.0,228
77,21.5,227
77,22.0,226
77,22.5,226
77,23.0,226
78,19.0,218
78,19.5,219
78,20.0,224
78,20.5,227
78,21.0,229
78,21.5,227
78,22.0,225
78,22.5,226
78,23.0,226
79,19.0,218
79,19.5,219
79,20.0,225
79,20.5,228
79,21.0,229
79,21.5,227
79,22.0,227
79,22.5,226
79,23.0,225
80,19.0,218
80,19.5,222
80,20.0,227
80,20.5,229
80,21.0,228
80,21.5,228
80,22.0,228
80,22.5,225
80,23.0,225
81,18.5,213
81,19.0,218
81,19.5,222
81,20.0,227
81,20.5,230
81,21.0,228
81,21.5,228
81,22.0,227
81,22.5,226
82,18.0,211
82,18.5,215
82,19.0,220
82,19.5,222
82,20.0,229
82,20.5,228
82,21.0,229
82,21.5,228
82,22.0,228
83,18.0,212
83,18.5,216
83,19.0,220
83,19.5,223
83,20.0,229
83,20.5,228
83,21.0,228
83,21.5,228
83,22.0,225
84,17.5,209
84,18.0,212
84,18.5,218
84,19.0,220
84,19.5,224
84,20.0,230
84,20.5,228
84,21.0,228
84,21.5,227
85,18.0,212
85,18.5,218
85,19.0,220
85,19.5,224
85,20.0,229
85,20.5,229
85,21.0,228
85,21.5,227
85,22.0,227
86,18.0,214
86,18.5,218
86,19.0,221
86,19.5,225
86,20.0,229
86,20.5,229
86,21.0,228
86,21.5,228
86,22.0,226
87,18.0,214
87,18.5,220
87,19.0,221
87,19.5,226
87,20.0,228
87,20.5,228
87,21.0,229
87,21.5,228
87,22.0,226
88,19.0,223
88,19.5,228
88,20.0,229
88,20.5,227
88,21.0,228
88,21.5,227
88,22.0,227
88,22.5,225
88,23.0,226
89,18.5,220
89,19.0,224
89,19.5,228
89,20.0,229
89,20.5,228
89,21.0,228
89,21.5,228
89,22.0,226
89,22.5,226
90,18.0,215
90,18.5,221
90,19.0,225
90,19.5,228
90,20.0,229
90,20.5,229
90,21.0,228
90,21.5,227
90,22.0,227
91,17.5,213
91,18.0,216
91,18.5,224
91,19.0,225
91,19.5,230
91,20.0,229
91,20.5,228
91,21.0,228
91,21.5,228
92,17.5,213
92,18.0,216
92,18.5,225
92,19.0,226
92,19.5,230
92,20.0,229
92,20.5,229
92,21.0,229
92,21.5,228
93,17.5,213
93,18.0,217
93,18.5,227
93,19.0,227
93,19.5,230
93,20.0,230
93,20.5,229
93,21.0,228
93,21.5,227
94,17.5,215
94,18.0,219
94,18.5,228
94,19.0,227
94,19.5,229
94,20.0,230
94,20.5,229
94,21.0,228
94,21.5,228
95,18.0,219
95,18.5,226
95,19.0,227
95,19.5,230
95,20.0,230
95,20.5,229
95,21.0,229
95,21.5,228
95,22.0,227
96,18.0,219
96,18.5,224
96,19.0,226
96,19.5,229
96,20.0,230
96,20.5,228
96,21.0,228
96,21.5,227
96,22.0,227
97,18.0,216
97,18.5,226
97,19.0,223
97,19.5,229
97,20.0,229
97,20.5,229
97,21.0,227
97,21.5,229
97,22.0,226
98,17.5,210
98,18.0,215
98,18.5,223
98,19.0,222
98,19.5,226
98,20.0,229
98,20.5,229
98,21.0,229
98,21.5,228
99,18.0,213
99,18.5,221
99,19.0,221
99,19.5,225
99,20.0,229
99,20.5,230
99,21.0,229
99,21.5,227
99,22.0,227
100,18.5,217
100,19.0,218
100,19.5,222
100,20.0,226
100,20.5,228
100,21.0,228
100,21.5,227
100,22.0,228
100,22.5,226
101,19.0,217
101,19.5,220
101,20.0,225
101,20.5,228
101,21.0,229
101,21.5,228
101,22.0,227
101,22.5,226
101,23.0,224
102,19.5,219
102,20.0,222
102,20.5,226
102,21.0,228
102,21.5,227
102,22.0,228
102,22.5,226
102,23.0,225
102,23.5,224
103,19.5,217
103,20.0,221
103,20.5,223
103,21.0,228
103,21.5,227
103,22.0,227
103,22.5,226
103,23.0,226
103,23.5,225
104,19.5,215
104,20.0,219
104,20.5,222
104,21.0,227
104,21.5,228
104,22.0,226
104,22.5,226
104,23.0,225
104,23.5,225
105,19.5,213
105,20.0,216
105,20.5,219
105,21.0,227
105,21.5,227
105,22.0,227
105,22.5,227
105,23.0,225
105,23.5,225
